round,supplier,retailer,final_price,final_volume
2,Supplier2,Retailer1,100.0,2000.0
2,Supplier2,Retailer2,105.0,1200.0
2,Supplier1,Retailer4,100.0,3500.0
2,Supplier1,Retailer5,108.0,1200.0
2,Supplier2,Retailer5,100.0,1500.0
2,Supplier1,Retailer6,105.0,2000.0
2,Supplier2,Retailer9,100.0,1000.0
3,Supplier1,Retailer3,100.0,1800.0
3,Supplier2,Retailer6,105.0,1800.0
3,Supplier3,Retailer10,105.0,1800.0
4,Supplier3,Retailer6,105.0,2000.0
4,Supplier3,Retailer7,100.0,1600.0
4,Supplier2,Retailer8,111.0,2376.0
4,Supplier1,Retailer9,100.0,1386.0
5,Supplier3,Retailer4,60.0,1200.0
6,Supplier3,Retailer5,100.0,1500.0
6,Supplier3,Retailer9,100.0,1000.0
7,Supplier3,Retailer2,105.0,686.0
1,Supplier3,Retailer5,97.0,2000.0
2,Supplier2,Retailer5,100.0,2500.0
2,Supplier2,Retailer6,100.0,1700.0
2,Supplier3,Retailer7,98.0,1200.0
2,Supplier3,Retailer8,90.0,1800.0
2,Supplier1,Retailer10,105.0,1300.0
3,Supplier1,Retailer2,108.0,1800.0
3,Supplier3,Retailer2,108.0,1800.0
3,Supplier3,Retailer3,100.0,3120.0
3,Supplier2,Retailer4,109.0,2200.0
3,Supplier1,Retailer6,105.0,1800.0
3,Supplier2,Retailer8,90.0,1800.0
3,Supplier1,Retailer9,101.0,2000.0
3,Supplier2,Retailer9,100.0,1700.0
4,Supplier1,Retailer3,105.0,2970.0
2,Supplier1,Retailer6,100.0,1200.0
2,Supplier1,Retailer7,110.0,1800.0
2,Supplier3,Retailer7,108.0,1600.0
3,Supplier1,Retailer3,105.0,1800.0
3,Supplier3,Retailer6,45.0,800.0
3,Supplier3,Retailer9,105.0,2000.0
3,Supplier1,Retailer10,107.0,1000.0
4,Supplier3,Retailer5,104.0,1800.0
4,Supplier2,Retailer7,108.0,1600.0
4,Supplier2,Retailer8,108.0,1500.0
4,Supplier1,Retailer9,107.0,2000.0
4,Supplier2,Retailer10,108.0,800.0
4,Supplier3,Retailer10,107.0,1000.0
5,Supplier1,Retailer1,108.0,2000.0
5,Supplier1,Retailer2,108.0,59.0
5,Supplier2,Retailer2,108.0,59.0
5,Supplier3,Retailer4,115.0,1200.0
5,Supplier3,Retailer8,100.0,1300.0
5,Supplier2,Retailer9,108.0,1800.0
6,Supplier3,Retailer2,110.0,143.0
6,Supplier2,Retailer3,106.0,1600.0
6,Supplier2,Retailer5,104.0,1500.0
8,Supplier2,Retailer4,FAIL,FAIL
2,Supplier3,Retailer7,95.0,6000.0
2,Supplier3,Retailer10,100.0,1500.0
3,Supplier3,Retailer1,85.0,2400.0
3,Supplier1,Retailer2,105.0,2000.0
3,Supplier2,Retailer5,108.0,2000.0
