round,supplier,retailer,final_price,final_volume
2,Supplier3,Retailer3,100.0,6000.0
2,Supplier1,Retailer6,105.0,1800.0
2,Supplier2,Retailer6,100.0,2700.0
2,Supplier2,Retailer9,105.0,1800.0
3,Supplier1,Retailer4,95.0,1800.0
3,Supplier3,Retailer4,105.0,1500.0
3,Supplier2,Retailer5,110.0,1200.0
3,Supplier3,Retailer5,110.0,1500.0
3,Supplier3,Retailer6,110.0,500.0
3,Supplier1,Retailer7,100.0,2500.0
4,Supplier2,Retailer3,95.0,2500.0
4,Supplier1,Retailer5,110.0,1500.0
4,Supplier1,Retailer8,100.0,1500.0
4,Supplier1,Retailer9,105.0,230.0
5,Supplier2,Retailer4,STOCK_EXCEEDED,FAIL
6,Supplier2,Retailer2,108.0,1054.0
2,Supplier1,Retailer6,110.0,2000.0
2,Supplier3,Retailer6,110.0,1800.0
3,Supplier1,Retailer2,105.0,1400.0
3,Supplier1,Retailer4,105.0,1400.0
3,Supplier3,Retailer4,105.0,1400.0
3,Supplier2,Retailer6,110.0,1800.0
3,Supplier2,Retailer8,102.0,1600.0
3,Supplier1,Retailer9,105.0,2000.0
3,Supplier2,Retailer9,105.0,2000.0
3,Supplier1,Retailer10,98.0,1200.0
4,Supplier3,Retailer1,115.0,1600.0
4,Supplier3,Retailer2,105.0,1200.0
4,Supplier2,Retailer4,100.0,2200.0
5,Supplier2,Retailer1,105.0,1200.0
5,Supplier2,Retailer2,STOCK_EXCEEDED,FAIL
5,Supplier1,Retailer3,105.0,1425.0
5,Supplier3,Retailer3,105.0,1500.0
5,Supplier3,Retailer7,100.0,1685.0
7,Supplier2,Retailer3,STOCK_EXCEEDED,FAIL
2,Supplier1,Retailer5,105.0,2000.0
2,Supplier1,Retailer7,45.0,1200.0
2,Supplier3,Retailer7,100.0,3500.0
3,Supplier1,Retailer3,110.0,2000.0
3,Supplier3,Retailer3,110.0,2000.0
3,Supplier2,Retailer5,100.0,1200.0
3,Supplier1,Retailer6,105.0,1600.0
3,Supplier1,Retailer8,101.0,1800.0
3,Supplier1,Retailer9,105.0,900.0
3,Supplier3,Retailer9,45.0,4000.0
3,Supplier2,Retailer10,105.0,2400.0
4,Supplier2,Retailer3,110.0,2000.0
4,Supplier2,Retailer6,105.0,1600.0
4,Supplier2,Retailer7,STOCK_EXCEEDED,FAIL
5,Supplier2,Retailer1,107.0,1700.0
9,Supplier2,Retailer8,100.0,274.0
2,Supplier1,Retailer1,45.0,1500.0
2,Supplier1,Retailer6,42.0,2000.0
2,Supplier1,Retailer9,100.0,2000.0
2,Supplier3,Retailer9,95.0,2000.0
2,Supplier1,Retailer10,100.0,3000.0
3,Supplier2,Retailer1,105.0,1500.0
3,Supplier2,Retailer3,105.0,1500.0
3,Supplier2,Retailer4,105.0,1200.0
3,Supplier2,Retailer6,48.0,1600.0
3,Supplier2,Retailer8,108.0,1800.0
3,Supplier2,Retailer10,45.0,1800.0
3,Supplier3,Retailer10,45.0,1800.0
4,Supplier1,Retailer2,108.0,950.0
4,Supplier2,Retailer2,109.0,95.0
4,Supplier3,Retailer6,0.0,0.0
5,Supplier3,Retailer4,100.0,1200.0
7,Supplier3,Retailer7,100.0,1200.0
7,Supplier3,Retailer8,109.0,1500.0
8,Supplier3,Retailer2,90.0,1238.0
2,Supplier1,Retailer1,108.0,1800.0
2,Supplier2,Retailer8,100.0,1500.0
2,Supplier2,Retailer10,100.0,1000.0
3,Supplier1,Retailer3,100.0,3500.0
3,Supplier2,Retailer3,100.0,3000.0
3,Supplier1,Retailer4,95.0,1600.0
3,Supplier1,Retailer6,107.0,2600.0
3,Supplier2,Retailer6,107.0,2600.0
3,Supplier3,Retailer7,95.0,950.0
3,Supplier2,Retailer9,110.0,1400.0
3,Supplier3,Retailer9,108.0,1400.0
4,Supplier3,Retailer4,100.0,1600.0
4,Supplier3,Retailer6,106.0,1800.0
5,Supplier3,Retailer1,108.0,1800.0
5,Supplier3,Retailer2,108.0,1592.0
2,Supplier2,Retailer1,108.0,1400.0
2,Supplier1,Retailer8,108.0,1200.0
2,Supplier2,Retailer9,108.0,1300.0
2,Supplier2,Retailer10,108.0,2000.0
2,Supplier3,Retailer10,108.0,2000.0
3,Supplier1,Retailer1,108.0,1200.0
3,Supplier3,Retailer2,106.0,1300.0
3,Supplier1,Retailer3,90.0,2000.0
3,Supplier1,Retailer4,105.0,1600.0
3,Supplier3,Retailer5,108.0,2500.0
3,Supplier2,Retailer6,105.0,3500.0
3,Supplier3,Retailer6,106.0,3700.0
3,Supplier1,Retailer7,100.0,1000.0
3,Supplier1,Retailer9,108.0,1300.0
3,Supplier1,Retailer10,103.0,1100.0
4,Supplier1,Retailer2,108.0,95.0
4,Supplier2,Retailer3,90.0,1235.0
2,Supplier2,Retailer1,104.0,2000.0
2,Supplier1,Retailer3,100.0,2500.0
2,Supplier2,Retailer3,115.0,1500.0
2,Supplier1,Retailer4,105.0,7000.0
2,Supplier2,Retailer4,104.0,2500.0
2,Supplier3,Retailer7,103.0,1300.0
2,Supplier2,Retailer9,104.0,2000.0
2,Supplier3,Retailer9,102.0,2000.0
3,Supplier2,Retailer5,100.0,1500.0
3,Supplier3,Retailer5,100.0,2000.0
3,Supplier3,Retailer10,108.0,1100.0
4,Supplier3,Retailer1,104.0,2000.0
4,Supplier3,Retailer6,108.0,945.0
2,Supplier2,Retailer1,100.0,2000.0
2,Supplier1,Retailer2,100.0,1800.0
2,Supplier1,Retailer4,102.0,2000.0
2,Supplier3,Retailer4,102.0,1600.0
2,Supplier1,Retailer7,108.0,5700.0
2,Supplier2,Retailer7,100.0,2000.0
2,Supplier2,Retailer9,100.0,1500.0
3,Supplier3,Retailer2,98.0,1600.0
3,Supplier2,Retailer5,103.0,2000.0
3,Supplier2,Retailer6,100.0,1500.0
3,Supplier3,Retailer6,100.0,1500.0
3,Supplier3,Retailer8,100.0,4800.0
4,Supplier2,Retailer3,58.0,475.0
2,Supplier2,Retailer1,105.0,2200.0
2,Supplier3,Retailer2,107.0,1800.0
2,Supplier2,Retailer5,100.0,2000.0
2,Supplier3,Retailer6,105.0,1800.0
2,Supplier3,Retailer7,105.0,800.0
2,Supplier2,Retailer8,100.0,1500.0
2,Supplier3,Retailer8,105.0,1600.0
2,Supplier2,Retailer9,105.0,2000.0
2,Supplier3,Retailer9,105.0,1200.0
2,Supplier2,Retailer10,105.0,1800.0
3,Supplier3,Retailer1,105.0,2300.0
3,Supplier1,Retailer2,107.0,1800.0
3,Supplier1,Retailer3,100.0,2000.0
3,Supplier1,Retailer6,105.0,1800.0
4,Supplier1,Retailer8,105.0,1600.0
5,Supplier1,Retailer7,105.0,800.0
5,Supplier1,Retailer9,105.0,300.0
6,Supplier1,Retailer5,100.0,954.0
2,Supplier3,Retailer1,105.0,1300.0
2,Supplier1,Retailer2,100.0,2500.0
