round,supplier,retailer,final_price,final_volume
1,Supplier1,Retailer7,55.0,1200.0
2,Supplier1,Retailer1,55.0,1100.0
2,Supplier2,Retailer1,55.0,1200.0
2,Supplier3,Retailer1,55.0,1200.0
2,Supplier1,Retailer4,105.0,1000.0
2,Supplier3,Retailer4,55.0,1000.0
2,Supplier1,Retailer5,50.0,1200.0
2,Supplier3,Retailer5,49.0,1200.0
2,Supplier2,Retailer6,105.0,1400.0
2,Supplier3,Retailer6,105.0,1400.0
2,Supplier2,Retailer7,50.0,1500.0
2,Supplier3,Retailer8,50.0,1200.0
2,Supplier1,Retailer9,68.0,1200.0
2,Supplier2,Retailer10,55.0,900.0
2,Supplier3,Retailer10,55.0,900.0
3,Supplier2,Retailer2,52.0,3500.0
3,Supplier2,Retailer4,48.0,500.0
3,Supplier1,Retailer6,105.0,1400.0
3,Supplier3,Retailer9,80.0,1200.0
4,Supplier1,Retailer2,98.0,1818.0
4,Supplier3,Retailer3,58.0,810.0
1,Supplier1,Retailer1,95.0,1300.0
1,Supplier1,Retailer5,50.0,640.0
1,Supplier1,Retailer6,95.0,1000.0
1,Supplier1,Retailer10,55.0,1000.0
2,Supplier3,Retailer2,50.0,2000.0
2,Supplier1,Retailer4,50.0,1500.0
2,Supplier2,Retailer4,50.0,1500.0
2,Supplier3,Retailer4,50.0,1500.0
2,Supplier2,Retailer5,52.0,640.0
2,Supplier1,Retailer7,55.0,1200.0
2,Supplier2,Retailer7,55.0,1200.0
2,Supplier2,Retailer8,100.0,1500.0
2,Supplier2,Retailer10,58.0,1800.0
2,Supplier3,Retailer10,58.0,1800.0
3,Supplier2,Retailer2,75.0,2360.0
3,Supplier3,Retailer7,54.0,1200.0
3,Supplier3,Retailer8,105.0,1000.0
4,Supplier3,Retailer1,105.0,1350.0
4,Supplier1,Retailer8,104.0,1200.0
7,Supplier1,Retailer3,82.5,1150.0
1,Supplier3,Retailer4,50.0,1500.0
1,Supplier3,Retailer5,48.0,1500.0
1,Supplier2,Retailer7,50.0,1200.0
1,Supplier3,Retailer9,52.0,800.0
2,Supplier1,Retailer1,90.0,1200.0
2,Supplier2,Retailer2,52.0,1400.0
2,Supplier3,Retailer3,48.0,2000.0
2,Supplier2,Retailer6,75.0,1500.0
2,Supplier1,Retailer7,52.0,1500.0
2,Supplier3,Retailer7,52.0,1800.0
2,Supplier1,Retailer9,52.0,800.0
2,Supplier2,Retailer10,50.0,1000.0
3,Supplier1,Retailer2,53.0,1500.0
3,Supplier3,Retailer2,53.0,1500.0
3,Supplier1,Retailer3,52.0,1500.0
3,Supplier2,Retailer3,56.0,1400.0
3,Supplier1,Retailer4,52.0,1500.0
