round,supplier,retailer,final_price,final_volume
2,Supplier2,Retailer1,105.0,1500.0
2,Supplier3,Retailer4,100.0,1800.0
2,Supplier3,Retailer6,105.0,1800.0
2,Supplier2,Retailer7,105.0,2500.0
2,Supplier3,Retailer7,100.0,2000.0
3,Supplier1,Retailer1,105.0,1200.0
3,Supplier1,Retailer4,104.0,2200.0
3,Supplier2,Retailer4,104.0,2200.0
3,Supplier1,Retailer7,105.0,2000.0
3,Supplier3,Retailer9,110.0,2500.0
3,Supplier3,Retailer10,104.0,900.0
4,Supplier1,Retailer6,105.0,1000.0
4,Supplier2,Retailer9,105.0,2000.0
5,Supplier2,Retailer3,100.0,520.0
5,Supplier1,Retailer10,101.0,520.0
6,Supplier1,Retailer3,95.0,1548.0
2,Supplier2,Retailer2,100.0,3000.0
2,Supplier2,Retailer3,105.0,1200.0
2,Supplier1,Retailer4,105.0,1100.0
2,Supplier1,Retailer5,108.0,1800.0
2,Supplier2,Retailer7,100.0,2000.0
2,Supplier3,Retailer8,100.0,1700.0
2,Supplier2,Retailer9,100.0,1200.0
2,Supplier1,Retailer10,105.0,1800.0
2,Supplier2,Retailer10,110.0,1600.0
3,Supplier1,Retailer6,100.0,2500.0
3,Supplier1,Retailer7,105.0,1800.0
3,Supplier3,Retailer7,45.0,1500.0
4,Supplier3,Retailer3,108.0,1000.0
4,Supplier3,Retailer4,108.0,1100.0
4,Supplier3,Retailer10,105.0,1600.0
5,Supplier3,Retailer9,105.0,1520.0
2,Supplier1,Retailer2,108.0,2500.0
2,Supplier2,Retailer2,100.0,2000.0
2,Supplier3,Retailer2,100.0,2000.0
2,Supplier2,Retailer9,107.0,1500.0
2,Supplier1,Retailer10,100.0,3000.0
3,Supplier2,Retailer3,105.0,2000.0
3,Supplier1,Retailer4,105.0,2000.0
3,Supplier1,Retailer6,100.0,1500.0
3,Supplier3,Retailer7,105.0,1800.0
3,Supplier2,Retailer10,100.0,2000.0
4,Supplier2,Retailer1,102.0,1350.0
5,Supplier3,Retailer3,106.0,1600.0
7,Supplier3,Retailer10,108.0,2500.0
8,Supplier3,Retailer1,100.0,244.0
2,Supplier2,Retailer2,100.0,1500.0
2,Supplier2,Retailer3,100.0,5000.0
2,Supplier1,Retailer4,105.0,1200.0
2,Supplier1,Retailer5,105.0,1800.0
2,Supplier2,Retailer5,105.0,2000.0
2,Supplier3,Retailer5,108.0,1800.0
2,Supplier2,Retailer6,102.0,500.0
3,Supplier1,Retailer6,102.0,2000.0
3,Supplier1,Retailer7,105.0,1500.0
3,Supplier3,Retailer7,108.0,1500.0
3,Supplier1,Retailer8,102.0,2500.0
3,Supplier3,Retailer8,105.0,3000.0
3,Supplier3,Retailer10,100.0,2500.0
4,Supplier3,Retailer6,108.0,180.0
2,Supplier3,Retailer7,108.0,2500.0
3,Supplier2,Retailer1,101.0,2800.0
